condition,replicate,pH,plate,well,weight_initial,weight_final,delta_weight
cyano_alone,1,3.5,1,1,30,38.76,8.76
cyano_alone,4,3.5,1,7,30,37.44,7.44
cyano_alone,2,3.5,2,1,30,14.15,-15.85
cyano_alone,5,3.5,2,7,30,28.5,-1.5
cyano_alone,3,3.5,3,1,30,33.7,3.7
cyano_alone,6,3.5,3,7,30,35.75,5.75
cyano_alone,1,4.5,1,2,30,9.59,-20.41
cyano_alone,4,4.5,1,8,30,21.49,-8.51
cyano_alone,2,4.5,2,2,30,20.19,-9.81
cyano_alone,5,4.5,2,8,30,44.84,14.84
cyano_alone,3,4.5,3,2,30,65.31,35.31
cyano_alone,6,4.5,3,8,30,31.35,1.35
cyano_alone,1,5.5,1,3,30,8.67,-21.33
cyano_alone,4,5.5,1,9,30,27.12,-2.88
cyano_alone,2,5.5,2,3,30,38.95,8.95
cyano_alone,5,5.5,2,9,30,44.94,14.94
cyano_alone,3,5.5,3,3,30,56.74,26.74
cyano_alone,6,5.5,3,9,30,37.39,7.39
cyano_alone,1,6.5,1,4,30,54.07,24.07
cyano_alone,4,6.5,1,10,30,72.87,42.87
cyano_alone,2,6.5,2,4,30,42.46,12.46
cyano_alone,5,6.5,2,10,30,48.33,18.33
cyano_alone,3,6.5,3,4,30,65.43,35.43
cyano_alone,6,6.5,3,10,30,36.55,6.55
cyano_alone,1,7.5,1,5,30,35.7,5.7
cyano_alone,4,7.5,1,11,30,35.24,5.24
cyano_alone,2,7.5,2,5,30,64.39,34.39
cyano_alone,5,7.5,2,11,30,61.05,31.05
cyano_alone,3,7.5,3,5,30,40.9,10.9
cyano_alone,6,7.5,3,11,30,17.39,-12.61
cyano_alone,1,8.5,1,6,30,27.86,-2.14
cyano_alone,4,8.5,1,12,30,37.62,7.62
cyano_alone,2,8.5,2,6,30,28.74,-1.26
cyano_alone,5,8.5,2,12,30,105.5,75.5
cyano_alone,3,8.5,3,6,30,114.33,84.33
cyano_alone,6,8.5,3,12,30,44.73,14.73
moss_alone,1,3.5,7,1,15.94,14.71,-1.23
moss_alone,4,3.5,7,7,11.07,17.72,6.65
moss_alone,2,3.5,8,1,8.69,48.89,40.2
moss_alone,5,3.5,8,7,8.12,22.35,14.23
moss_alone,3,3.5,9,1,4,16.52,12.52
moss_alone,6,3.5,9,7,10.36,20.94,10.58
moss_alone,1,4.5,7,2,41.46,68.74,27.28
moss_alone,4,4.5,7,8,4.05,16.29,12.24
moss_alone,2,4.5,8,2,23.33,43.73,20.4
moss_alone,5,4.5,8,8,5.98,26.34,20.36
moss_alone,3,4.5,9,2,9.93,29.76,19.83
moss_alone,6,4.5,9,8,11.9,26.78,14.88
moss_alone,1,5.5,7,3,7.51,30.6,23.09
moss_alone,4,5.5,7,9,37.67,33.73,-3.94
moss_alone,2,5.5,8,3,38.53,97.51,58.98
moss_alone,5,5.5,8,9,68.61,83.8,15.19
moss_alone,3,5.5,9,3,18.97,83.38,64.41
moss_alone,6,5.5,9,9,6.4,41.16,34.76
moss_alone,1,6.5,7,4,20.62,82.02,61.4
moss_alone,4,6.5,7,10,27.58,43.07,15.49
moss_alone,2,6.5,8,4,5.93,12.21,6.28
moss_alone,5,6.5,8,10,14.19,42.37,28.18
moss_alone,3,6.5,9,4,20.35,58.81,38.46
moss_alone,6,6.5,9,10,31,37.31,6.31
moss_alone,1,7.5,7,5,10.81,10.8,-0.01
moss_alone,4,7.5,7,11,63.18,97.18,34
moss_alone,2,7.5,8,5,60.39,70.21,9.82
moss_alone,5,7.5,8,11,5.7,33.32,27.62
moss_alone,3,7.5,9,5,41.05,94.76,53.71
moss_alone,6,7.5,9,11,17.54,31.16,13.62
moss_alone,1,8.5,7,6,8.58,23.81,15.23
moss_alone,4,8.5,7,12,6.95,23.12,16.17
moss_alone,2,8.5,8,6,59.99,69.22,9.23
moss_alone,5,8.5,8,12,3.11,55.44,52.33
moss_alone,3,8.5,9,6,3.35,27.37,24.02
moss_alone,6,8.5,9,12,8.65,37.15,28.5
Cyanobacteria_moss_seperate,,3.5,,,,,7.53
Cyanobacteria_moss_seperate,,3.5,,,,,14.09
Cyanobacteria_moss_seperate,,3.5,,,,,24.35
Cyanobacteria_moss_seperate,,3.5,,,,,12.73
Cyanobacteria_moss_seperate,,3.5,,,,,16.22
Cyanobacteria_moss_seperate,,3.5,,,,,16.33
Cyanobacteria_moss_seperate,,4.5,,,,,6.87
Cyanobacteria_moss_seperate,,4.5,,,,,3.73
Cyanobacteria_moss_seperate,,4.5,,,,,10.59
Cyanobacteria_moss_seperate,,4.5,,,,,35.2
Cyanobacteria_moss_seperate,,4.5,,,,,55.14
Cyanobacteria_moss_seperate,,4.5,,,,,16.23
Cyanobacteria_moss_seperate,,5.5,,,,,1.76
Cyanobacteria_moss_seperate,,5.5,,,,,-6.82
Cyanobacteria_moss_seperate,,5.5,,,,,67.93
Cyanobacteria_moss_seperate,,5.5,,,,,30.13
Cyanobacteria_moss_seperate,,5.5,,,,,91.15
Cyanobacteria_moss_seperate,,5.5,,,,,42.15
Cyanobacteria_moss_seperate,,6.5,,,,,85.47
Cyanobacteria_moss_seperate,,6.5,,,,,58.36
Cyanobacteria_moss_seperate,,6.5,,,,,18.74
Cyanobacteria_moss_seperate,,6.5,,,,,46.51
Cyanobacteria_moss_seperate,,6.5,,,,,73.89
Cyanobacteria_moss_seperate,,6.5,,,,,12.86
Cyanobacteria_moss_seperate,,7.5,,,,,5.69
Cyanobacteria_moss_seperate,,7.5,,,,,39.24
Cyanobacteria_moss_seperate,,7.5,,,,,44.21
Cyanobacteria_moss_seperate,,7.5,,,,,58.67
Cyanobacteria_moss_seperate,,7.5,,,,,64.61
Cyanobacteria_moss_seperate,,7.5,,,,,1.01
Cyanobacteria_moss_seperate,,8.5,,,,,13.09
Cyanobacteria_moss_seperate,,8.5,,,,,23.79
Cyanobacteria_moss_seperate,,8.5,,,,,7.97
Cyanobacteria_moss_seperate,,8.5,,,,,127.83
Cyanobacteria_moss_seperate,,8.5,,,,,108.35
Cyanobacteria_moss_seperate,,8.5,,,,,43.23
Cyanobacteria_moss_symbiosis,1,3.5,4,1,35.04,114,78.96
Cyanobacteria_moss_symbiosis,4,3.5,4,7,40.45,71.87,31.42
Cyanobacteria_moss_symbiosis,2,3.5,5,1,30.93,72.09,41.16
Cyanobacteria_moss_symbiosis,5,3.5,5,7,58.5,113.81,55.31
Cyanobacteria_moss_symbiosis,3,3.5,6,1,66.76,100.53,33.77
Cyanobacteria_moss_symbiosis,6,3.5,6,7,70.87,94.82,23.95
Cyanobacteria_moss_symbiosis,1,4.5,4,2,46.87,91.28,44.41
Cyanobacteria_moss_symbiosis,4,4.5,4,8,45.78,71.87,26.09
Cyanobacteria_moss_symbiosis,2,4.5,5,2,33.15,45.72,12.57
Cyanobacteria_moss_symbiosis,5,4.5,5,8,70.99,105.27,34.28
Cyanobacteria_moss_symbiosis,3,4.5,6,2,40.9,85.89,44.99
Cyanobacteria_moss_symbiosis,6,4.5,6,8,53.93,108.63,54.7
Cyanobacteria_moss_symbiosis,1,5.5,4,3,54.63,89.76,35.13
Cyanobacteria_moss_symbiosis,4,5.5,4,9,34.18,78.43,44.25
Cyanobacteria_moss_symbiosis,2,5.5,5,3,49.96,127.2,77.24
Cyanobacteria_moss_symbiosis,5,5.5,5,9,87,177.43,90.43
Cyanobacteria_moss_symbiosis,3,5.5,6,3,59.52,111.65,52.13
Cyanobacteria_moss_symbiosis,6,5.5,6,9,87.22,121,33.78
Cyanobacteria_moss_symbiosis,1,6.5,4,4,50.63,68.86,18.23
Cyanobacteria_moss_symbiosis,4,6.5,4,10,37.54,59.99,22.45
Cyanobacteria_moss_symbiosis,2,6.5,5,4,51.74,103.22,51.48
Cyanobacteria_moss_symbiosis,5,6.5,5,10,60.86,92.77,31.91
Cyanobacteria_moss_symbiosis,3,6.5,6,4,59.26,120.23,60.97
Cyanobacteria_moss_symbiosis,6,6.5,6,10,55.68,100.6,44.92
Cyanobacteria_moss_symbiosis,1,7.5,4,5,56.04,89.93,33.89
Cyanobacteria_moss_symbiosis,4,7.5,4,11,33.77,88.08,54.31
Cyanobacteria_moss_symbiosis,2,7.5,5,5,41.94,73.17,31.23
Cyanobacteria_moss_symbiosis,5,7.5,5,11,90.37,139.23,48.86
Cyanobacteria_moss_symbiosis,3,7.5,6,5,78.46,138.79,60.33
Cyanobacteria_moss_symbiosis,6,7.5,6,11,51.22,119.64,68.42
Cyanobacteria_moss_symbiosis,1,8.5,4,6,34.26,77.44,43.18
Cyanobacteria_moss_symbiosis,4,8.5,4,12,33.8,110.1,76.3
Cyanobacteria_moss_symbiosis,2,8.5,5,6,38.72,118.31,79.59
Cyanobacteria_moss_symbiosis,5,8.5,5,12,66.54,173.12,106.58
Cyanobacteria_moss_symbiosis,3,8.5,6,6,52.56,87.64,35.08
Cyanobacteria_moss_symbiosis,6,8.5,6,12,53.52,161.43,107.91